,着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
10,11,1,2,ウォルフズハウル,牡3,54.0,石橋脩,2:00.5,ハナ,**,8-7-7-5,34.8,4.5,2.0,468(0),,,,[東]栗田徹,ゴドルフィン,
11,12,6,11,サツキワルツ,牝4,55.0,丸田恭介,2:00.7,1.1/4,**,14-13-13-14,34.4,52.5,11.0,458(+2),,,,[東]蛯名利弘,小野博郷,
12,13,8,16,ミレフォリウム,牝4,55.0,福永祐一,2:00.8,1/2,**,4-5-6-7,35.2,16.4,7.0,480(0),,,,[東]中舘英二,サンデーレーシング,
13,14,7,13,クラウンマグマ,セ6,57.0,木幡巧也,2:01.8,6,**,16-16-16-16,35.0,571.1,16.0,458(+2),,,,[東]和田雄二,矢野恭裕,
14,15,6,12,ドリームマジック,牝5,55.0,松岡正海,2:01.8,アタマ,**,10-10-11-12,35.8,65.7,12.0,474(+4),,,,[東]松山将樹,堀口晴男,
15,16,7,14,ラッキーアドバンス,牡5,57.0,武士沢友,2:02.0,1,**,3-3-3-5,36.6,230.3,15.0,478(-6),,,,[東]勢司和浩,柳内正基,
0,1,4,4,オーソリティ,牡2,54.0,池添謙一,2:02.9,,**,4-4-3-3,33.8,2.0,1.0,498(+4),,,,[東]木村哲也,シルクレーシング,"1,612.6"
1,2,6,6,ウインカーネリアン,牡2,54.0,松岡正海,2:03.3,2.1/2,**,1-1-1-1,34.5,4.0,3.0,486(+4),,,,[東]鹿戸雄一,ウイン,643.6
2,3,5,5,サペラヴィ,牡2,54.0,石橋脩,2:03.3,ハナ,**,2-2-2-2,34.4,29.1,6.0,464(-6),,,,[東]相沢郁,伊達敏明,401.8
3,4,3,3,ルトロヴァイユ,牝2,54.0,吉田豊,2:03.7,2.1/2,**,3-3-3-4,34.6,3.7,2.0,456(0),,,,[東]竹内正洋,古川一弘,240.0
4,5,2,2,アルファウェーブ,牡2,54.0,福永祐一,2:04.1,2.1/2,**,5-5-5-5,34.8,8.2,4.0,526(+8),,,,[東]藤沢和雄,吉田勝己,160.0
5,6,1,1,トランシルヴァニア,牡2,54.0,三浦皇成,2:04.2,1/2,**,6-5-5-5,34.8,25.8,5.0,472(+12),,,,[東]田中剛,サンデーレーシング,
0,1,6,8,ブランメジェール,牝5,55.0,大野拓弥,1:10.6,,**,3-2,36.9,4.9,2.0,476(-4),,,,[東]高木登,ノルマンディーサラブレッドレーシング,750.0
1,2,4,5,スズノフブキ,セ5,57.0,武士沢友,1:10.7,1/2,**,5-5,36.7,11.1,6.0,482(+4),,,,[東]高橋裕,小紫嘉之,300.0
2,3,7,10,スポーカンテソーロ,牝3,52.0,武藤雅,1:10.8,3/4,**,2-2,37.2,2.8,1.0,518(+2),,,,[東]加藤士津,了徳寺健二ホールディングス,190.0
3,4,5,6,ディナミーデン,牡4,57.0,田辺裕信,1:10.8,アタマ,**,10-11,36.3,17.0,7.0,472(+4),,,,[東]田島俊明,ライオンレースホース,110.0
4,5,7,11,ステラストラータ,セ4,55.0,木幡育也,1:10.8,クビ,**,6-6,36.6,34.2,10.0,462(+2),,,,[東]大江原哲,岡田牧雄,75.0
5,6,1,1,チェルシーライオン,牡3,55.0,吉田隼人,1:10.9,クビ,**,6-6,36.8,18.4,8.0,480(+2),,,,[西]矢作芳人,ライオンレースホース,
6,7,3,3,ザベストエバー,牡5,57.0,内田博幸,1:11.2,2,**,3-4,37.5,8.4,5.0,460(-2),,,,[東]武井亮,古賀慎一,
7,8,8,13,トモジャドット,牡3,55.0,津村明秀,1:11.2,アタマ,**,1-1,37.7,6.1,3.0,546(+6),,,,[東]小笠倫弘,吉冨朝美,
8,9,6,9,カウムディー,牝3,53.0,木幡初也,1:11.7,3,**,12-12,37.1,177.4,13.0,460(-2),,,,[東]小桧山悟,加藤徹,
9,10,5,7,ダンホーキラー,牡3,55.0,三浦皇成,1:11.7,ハナ,**,6-6,37.6,7.5,4.0,448(+10),,,,[東]鹿戸雄一,ドラゴンヒルズホースクラブ,
10,11,8,12,タカラチーター,牡3,52.0,菅原明良,1:11.8,クビ,**,10-9,37.4,174.2,12.0,450(-6),,,,[東]藤原辰雄,村山義男,
11,12,2,2,ノボオリエンス,牝3,52.0,横山武史,1:12.1,2,**,13-12,37.4,30.6,9.0,464(+2),,,,[東]尾関知人,ＬＳ．Ｍ,
12,13,4,4,ケンブリッジビット,牝4,55.0,井上敏樹,1:12.2,1/2,**,9-9,37.9,105.5,11.0,472(+4),,,,[東]高橋義博,中西宏彰,
0,1,4,8,タワーオブロンドン,牡4,57.0,ルメール,1:07.1,,**,11-8,33.5,2.9,2.0,514(-2),,,,[東]藤沢和雄,ゴドルフィン,"11,344.4"
1,2,4,7,モズスーパーフレア,牝4,55.0,松若風馬,1:07.2,1/2,**,1-1,34.4,6.2,3.0,502(-4),,,,[西]音無秀孝,キャピタル・システム,"4,498.4"
2,3,1,2,ダノンスマッシュ,牡4,57.0,川田将雅,1:07.2,クビ,**,7-8,33.7,2.8,1.0,470(-8),,,,[西]安田隆行,ダノックス,"2,849.2"
3,4,7,13,ミスターメロディ,牡4,57.0,福永祐一,1:07.4,1,**,4-2,34.1,15.7,6.0,502(+6),,,,[西]藤原英昭,グリーンフィールズ,"1,700.0"
4,5,3,5,レッツゴードンキ,牝7,55.0,岩田康誠,1:07.5,1/2,**,14-14,33.4,47.0,9.0,490(-12),,,,[西]梅田智之,廣崎利洋ＨＤ,"1,100.0"
5,6,6,12,ダイメイプリンセス,牝6,55.0,秋山真一,1:07.5,ハナ,**,7-5,34.0,71.3,12.0,504(0),,,,[西]森田直行,宮本孝一,
6,7,7,14,ハッピーアワー,牡3,55.0,横山典弘,1:07.6,3/4,**,16-16,33.1,194.4,13.0,434(-12),,,,[西]武幸四郎,高嶋祐子,
7,8,3,6,ノーワン,牝3,53.0,内田博幸,1:07.8,1.1/4,**,12-10,33.9,195.9,14.0,468(-6),,,,[西]笹田和秀,藤田好紀,
8,9,2,4,リナーテ,牝5,55.0,三浦皇成,1:07.9,1/2,**,12-10,34.0,14.9,5.0,486(-2),,,,[西]須貝尚介,サンデーレーシング,
9,10,1,1,アレスバローズ,牡7,57.0,菱田裕二,1:08.0,3/4,**,14-14,33.9,55.0,11.0,484(-8),,,,[西]角田晃一,猪熊広次,
10,11,8,15,イベリス,牝3,53.0,浜中俊,1:08.0,クビ,**,4-5,34.8,49.1,10.0,464(0),,,,[西]角田晃一,前田幸治,
11,12,2,3,セイウンコウセイ,牡6,57.0,幸英明,1:08.1,3/4,**,4-5,34.9,41.4,8.0,500(-2),,,,[東]上原博之,西山茂行,
12,13,5,9,ディアンドル,牝3,53.0,藤岡佑介,1:08.6,3,**,7-10,35.1,8.9,4.0,488(+2),,,,[西]奥村豊,シルクレーシング,
13,14,6,11,マルターズアポジー,牡7,57.0,丸山元気,1:08.7,3/4,**,2-2,35.7,205.6,15.0,536(+6),,,,[東]堀井雅広,藤田在子,
14,15,5,10,ラブカンプー,牝4,55.0,酒井学,1:08.8,クビ,**,7-10,35.4,219.9,16.0,436(+2),,,,[西]森田直行,増田陽一,
15,16,8,16,ファンタジスト,牡3,55.0,武豊,1:09.3,3,**,2-2,36.3,26.5,7.0,482(0),,,,[西]梅田智之,廣崎利洋,
0,1,6,10,ポタジェ,牡2,54.0,川田将雅,1:50.1,,**,13-13-7-8,34.6,1.3,1.0,450(0),,,,[西]友道康夫,金子真人ホールディングス,700.0
1,2,8,13,ハーレムシャドウ,牡2,54.0,福永祐一,1:50.3,1,**,3-2-2-2,35.2,16.7,4.0,496(0),,,,[西]須貝尚介,飯塚知一,280.0
2,3,3,3,ドリームメッセージ,牡2,54.0,丸山元気,1:50.3,ハナ,**,9-11-14-12,34.0,62.7,8.0,432(0),,,,[東]中川公成,堀口晴男,180.0
3,4,2,2,ユピテルルークス,牡2,54.0,浜中俊,1:50.3,クビ,**,12-11-4-4,35.0,6.1,2.0,488(0),,,,[西]清水久詞,輝レーシング,110.0
4,5,7,12,ポーラーサン,牡2,53.0,武藤雅,1:50.5,1.1/4,**,2-3-4-5,35.2,13.2,3.0,462(0),,,,[東]久保田貴,窪田康志,70.0
5,6,5,7,ワカミヤアトゥ,牡2,54.0,三浦皇成,1:50.6,1/2,**,8-7-7-5,35.1,26.8,6.0,460(0),,,,[東]稲垣幸雄,芳川貴行,
6,7,4,6,ガニアン,牡2,54.0,岩田康誠,1:50.6,クビ,**,9-10-9-9,34.8,25.8,5.0,454(0),,,,[東]田村康仁,ラ・メール,
7,8,7,11,コスモプロケッラ,牡2,54.0,柴田大知,1:51.0,2.1/2,**,3-3-2-2,35.8,121.9,11.0,438(0),,,,[東]蛯名利弘,ビッグレッドファーム,
8,9,6,9,リブエターナル,牝2,54.0,幸英明,1:51.1,1/2,**,6-5-4-5,35.8,146.4,12.0,460(0),,,,[東]田村康仁,大塚亮一,
9,10,8,14,ガッツ,牡2,54.0,杉原誠人,1:51.4,1.3/4,**,1-1-1-1,36.4,90.2,10.0,478(0),,,,[東]伊藤大士,ミルファーム,
10,11,4,5,コスモイダマシネ,牡2,54.0,丹内祐次,1:51.6,1.1/4,**,9-9-9-11,35.8,81.7,9.0,456(0),,,,[東]武藤善則,ビッグレッドファーム,
11,12,3,4,エスペルト,牡2,54.0,菱田裕二,1:51.6,クビ,**,6-7-9-9,35.9,220.2,13.0,484(0),,,,[東]池上昌和,ラ・メール,
12,13,1,1,リンガスウォリアー,牡2,54.0,藤岡佑介,1:51.7,1/2,**,14-14-13-13,35.5,45.3,7.0,466(0),,,,[東]中舘英二,伊藤巖,
13,14,5,8,エリンクロノス,牡2,52.0,木幡育也,1:53.9,大,**,3-6-12-14,38.0,376.3,14.0,510(0),,,,[東]大江原哲,田頭勇貴,
0,1,8,16,ロフティーピーク,牝2,54.0,ルメール,1:12.7,,**,3-3,37.2,2.0,1.0,486(0),,,,[西]武幸四郎,サンデーレーシング,700.0
1,2,7,14,レイテントロアー,牡2,54.0,嘉藤貴行,1:13.1,2.1/2,**,3-3,37.6,111.5,13.0,472(0),,,,[東]田中清隆,矢野亨憲,280.0
2,3,4,8,サツキマス,牝2,54.0,戸崎圭太,1:13.4,2,**,5-5,37.6,9.3,4.0,454(0),,,,[東]田島俊明,越村哲男,180.0
3,4,4,7,トミケンリフリーク,牝2,54.0,丸山元気,1:13.7,2,**,2-2,38.3,30.9,8.0,446(0),,,,[東]竹内正洋,冨樫賢二,110.0
4,5,2,3,ムーランアンディゴ,牡2,54.0,丸田恭介,1:13.8,3/4,**,12-12,37.1,9.5,5.0,488(0),,,,[東]田中博康,村上卓史,70.0
5,6,6,11,コパシーナ,セ2,54.0,三浦皇成,1:13.9,1/2,**,9-9,37.5,6.6,2.0,476(0),,,,[東]伊藤圭三,椎名節,
6,7,1,1,タピオカ,牝2,54.0,木幡巧也,1:13.9,ハナ,**,1-1,38.6,6.8,3.0,484(0),,,,[東]牧光二,清水牧場,
7,8,1,2,トゥーヤング,牝2,54.0,宮崎北斗,1:14.4,3,**,7-7,38.3,82.6,10.0,436(0),,,,[東]小桧山悟,三岡陽,
8,9,5,9,ダイシンウィット,牡2,54.0,丹内祐次,1:15.1,4,**,9-11,38.6,61.7,9.0,490(0),,,,[東]小笠倫弘,大八木信行,
9,10,2,4,キタノシャンティ,牡2,51.0,山田敬士,1:15.2,3/4,**,9-7,38.8,142.8,14.0,478(0),,,,[東]松永康利,北所直人,
10,11,7,13,ルージュキッス,牝2,51.0,大塚海渡,1:15.3,クビ,**,14-15,37.4,88.9,11.0,420(0),,,,[東]和田雄二,ヒダカ・ブリーダーズ・ユニオン,
11,12,6,12,フルートフル,牝2,54.0,伊藤工真,1:15.5,1.1/2,**,5-6,39.8,400.4,16.0,434(0),,,,[東]石毛善彦,和田牧場,
12,13,5,10,アキトゴー,牡2,54.0,岩部純二,1:15.6,クビ,**,14-13,37.7,207.8,15.0,466(0),,,,[東]南田美知,大倉佑介,
13,14,8,15,スーコーサファイア,牝2,51.0,小林凌大,1:17.0,8,**,7-10,40.9,98.1,12.0,450(0),,,,[東]深山雅史,谷口祐人,
14,15,3,5,ララキューン,牝2,54.0,松若風馬,1:17.4,2.1/2,**,14-15,39.6,27.3,7.0,508(0),,,,[東]新開幸一,永見貴昭,
15,16,3,6,ムキズ,牡2,54.0,大野拓弥,1:17.4,アタマ,**,13-13,40.6,24.6,6.0,450(0),,,,[東]和田勇介,杉澤光雄,
0,1,4,7,グッドジュエリー,牝4,52.0,丸田恭介,1:08.4,,**,4-3,33.7,27.5,9.0,456(+4),,,,[東]堀井雅広,長谷川光司,"1,542.0"
1,2,7,13,トンボイ,牝4,52.0,酒井学,1:08.4,クビ,**,2-2,33.9,41.2,11.0,436(0),,,,[西]西園正都,幅田京子,612.0
2,3,8,16,シセイタイガ,牡3,55.0,三浦皇成,1:08.5,クビ,**,4-3,33.8,7.4,4.0,446(0),,,,[東]高橋文雅,猪苗代勇,386.0
3,4,2,4,ハイヤーアプシス,牝5,52.0,武豊,1:08.7,1.1/4,**,6-6,33.8,45.7,12.0,436(-10),,,,[東]鹿戸雄一,吉田晴哉,230.0
4,5,5,10,ヴェルスパー,牝4,54.0,戸崎圭太,1:08.7,クビ,**,8-6,33.7,13.0,6.0,444(+4),,,,[東]加藤征弘,サンデーレーシング,150.0
5,6,7,14,アゴベイ,牝3,52.0,川田将雅,1:08.8,3/4,**,9-9,33.6,4.0,2.0,434(-2),,,,[東]尾関知人,ゴドルフィン,
6,7,1,1,シセイヒテン,牡4,57.0,丸山元気,1:08.9,クビ,**,16-15,32.9,10.3,5.0,444(-2),,,,[東]宗像義忠,猪苗代勇,
7,8,3,6,アンリミット,牝4,55.0,内田博幸,1:08.9,クビ,**,10-10,33.6,5.5,3.0,496(+12),,,,[西]清水久詞,前原敏行,
8,9,3,5,セイウンリリシイ,牝4,53.0,武藤雅,1:09.0,クビ,**,3-3,34.4,20.9,7.0,468(0),,,,[東]水野貴広,西山茂行,
9,10,5,9,タイセイアベニール,牡4,57.0,ルメール,1:09.0,アタマ,**,10-10,33.7,3.9,1.0,484(+4),,,,[西]西村真幸,田中成奉,
10,11,8,15,ピカピカ,牝4,52.0,西田雄一,1:09.0,クビ,**,6-6,34.1,96.1,15.0,506(+2),,,,[東]石毛善彦,ミルファーム,
11,12,2,3,ザイツィンガー,牡3,53.0,幸英明,1:09.0,ハナ,**,14-14,33.2,57.4,13.0,420(-6),,,,[西]牧田和弥,永田和彦,
12,13,4,8,オジョーノキセキ,牝4,53.0,松若風馬,1:09.0,ハナ,**,12-13,33.4,68.3,14.0,514(-4),,,,[東]伊藤大士,前原敏行,
13,14,1,2,シゲルベンガルトラ,牡5,56.0,横山典弘,1:09.0,ハナ,**,14-15,33.3,27.9,10.0,474(-6),,,,[東]和田勇介,森中蕃,
14,15,6,12,マーマレードガール,牝3,52.0,丹内祐次,1:09.2,1.1/4,**,1-1,34.8,21.8,8.0,456(-2),,,,[東]中野栄治,ビッグレッドファーム,
15,16,6,11,カワキタピリカ,牡6,53.0,菅原明良,1:09.2,ハナ,**,12-12,33.7,245.1,16.0,498(-8),,,,[東]武市康男,川島吉男,
0,1,4,4,サトノダムゼル,牝3,52.0,Ｍ．デム,1:50.1,,**,2-2-2-2,33.8,1.4,1.0,448(0),,,,[東]堀宣行,サトミホースカンパニー,"1,528.7"
1,2,1,1,ロフティフレーズ,牝4,55.0,丸山元気,1:50.1,クビ,**,4-3-3-2,33.6,24.4,7.0,472(+16),,,,[東]上原博之,水上ふじ子,608.2
2,3,2,2,ミヤビパーフェクト,セ3,54.0,福永祐一,1:50.5,2,**,1-1-1-1,34.3,4.0,2.0,460(-2),,,,[西]笹田和秀,村上義勝,384.1
3,4,3,3,エバーミランダ,牝4,55.0,吉田隼人,1:50.7,1.1/4,**,3-3-5-6,34.1,16.9,4.0,428(+8),,,,[東]久保田貴,宇田豊,230.0
4,5,7,10,ヒシヴィクトリー,牡4,57.0,木幡巧也,1:50.7,クビ,**,4-3-3-4,34.3,13.1,3.0,490(0),,,,[東]牧光二,阿部雅英,150.0
5,6,5,6,ギルマ,牡3,54.0,三浦皇成,1:50.9,1,**,9-9-8-4,34.0,21.6,6.0,486(-4),,,,[西]高橋義忠,杉澤光雄,
6,7,6,7,トーホウアイレス,牝5,55.0,武藤雅,1:51.0,3/4,**,10-10-11-10,33.8,32.3,8.0,488(+18),,,,[東]田中清隆,東豊物産,
7,8,5,5,ケルフロイデ,牡6,57.0,内田博幸,1:51.1,クビ,**,6-6-6-7,34.3,20.5,5.0,496(-6),,,,[東]加藤征弘,キャロットファーム,
8,9,7,9,シベリアンタイガー,セ8,57.0,大野拓弥,1:51.2,3/4,**,8-8-8-9,34.3,141.3,9.0,478(+4),,,,[東]稲垣幸雄,岡田牧雄,
9,10,8,11,ウインオルビット,牡4,57.0,丹内祐次,1:51.2,クビ,**,6-6-6-7,34.5,182.8,10.0,486(-10),,,,[東]青木孝文,ウイン,
10,11,6,8,スワンボート,牡9,57.0,岩部純二,1:51.7,3,**,10-10-10-11,34.6,505.1,12.0,484(+10),,,,[東]浅野洋一,田頭勇貴,
11,12,8,12,スズカヴァンガード,セ8,57.0,菊沢一樹,1:51.8,3/4,**,12-12-11-11,34.5,251.3,11.0,500(+4),,,,[東]小島茂之,永井啓弍,
0,1,7,7,サクセッション,牡2,54.0,ルメール,1:34.6,,**,2-1-1,33.9,1.7,1.0,498(+2),,,,[東]国枝栄,キャロットファーム,"1,018.9"
1,2,1,1,ヴェスターヴァルト,牡2,54.0,Ｍ．デム,1:34.8,1.1/2,**,1-2-2,33.9,5.2,3.0,460(0),,,,[東]加藤征弘,キャロットファーム,405.4
2,3,8,8,ミャゴラーレ,牡2,54.0,田辺裕信,1:34.9,3/4,**,5-6-5,33.6,22.2,5.0,502(-6),,,,[東]黒岩陽一,山口裕介,252.7
3,4,5,5,シコウ,牡2,54.0,木幡巧也,1:35.1,1,**,4-4-2,34.1,11.6,4.0,460(-2),,,,[東]牧光二,岡田牧雄,150.0
4,5,3,3,カップッチョ,牡2,54.0,江田照男,1:35.2,1/2,**,5-4-5,34.2,44.6,6.0,438(-2),,,,[東]高市圭二,ミルファーム,100.0
5,6,8,9,ステラータ,牝2,54.0,田中勝春,1:35.4,1.1/4,**,8-8-7,34.0,122.2,8.0,464(-12),,,,[西]森秀行,小菅定雄,
6,7,2,2,エヴァーガーデン,牝2,54.0,戸崎圭太,1:36.1,4,**,2-2-2,35.2,4.2,2.0,456(+4),,,,[東]高橋祥泰,コスモヴューファーム,
7,8,4,4,マッドシティ,牝2,54.0,森泰斗,1:36.3,1.1/2,**,9-9-9,34.5,179.1,9.0,430(-12),,,,[地]山中尊徳,大越徹朗,
8,9,6,6,マイネルテナシャス,牡2,54.0,松岡正海,1:36.5,1.1/4,**,5-6-7,35.3,114.4,7.0,458(+4),,,,[東]萱野浩二,サラブレッドクラブ・ラフィアン,
0,1,6,11,スズカユース,牝3,52.0,菊沢一樹,1:10.7,,**,4-3,36.2,14.9,6.0,450(+2),,,,[東]伊藤圭三,永井啓弍,750.0
1,2,6,12,コウギョウブライト,牡4,57.0,Ｍ．デム,1:10.7,クビ,**,3-3,36.4,2.4,1.0,458(+10),,,,[東]伊藤大士,小林秀樹,300.0
2,3,4,8,サトノユニゾン,セ4,57.0,北村宏司,1:11.6,5,**,5-5,36.9,3.9,2.0,496(+2),,,,[東]古賀慎明,サトミホースカンパニー,190.0
3,4,1,1,アミュリオン,牡3,55.0,三浦皇成,1:11.6,アタマ,**,10-9,36.0,13.2,5.0,454(0),,,,[東]藤原辰雄,吉澤克己,110.0
4,5,1,2,コパノジョウオー,牝3,53.0,森泰斗,1:11.6,ハナ,**,12-11,35.7,16.5,7.0,482(+6),,,,[西]村山明,小林祥晃,75.0
5,6,8,15,エンパイアシュアー,牡3,55.0,丸田恭介,1:12.0,2.1/2,**,11-11,36.2,94.0,12.0,466(-10),,,,[東]和田雄二,ターフ・スポート,
6,7,2,3,ステラストラータ,セ4,55.0,木幡育也,1:12.1,クビ,**,12-14,36.1,58.9,11.0,460(-39),,,,[東]大江原哲,岡田牧雄,
7,8,2,4,シゲルジルコン,牝3,53.0,江田照男,1:12.3,1.1/4,**,5-5,37.6,25.7,8.0,482(-2),,,,[東]田中剛,森中蕃,
8,9,4,7,シゲルスピネル,牝3,50.0,藤田菜七,1:12.4,クビ,**,2-2,38.2,10.0,4.0,450(-2),,,,[東]和田勇介,森中蕃,
9,10,5,10,アマデウス,牡3,52.0,菅原明良,1:12.4,クビ,**,7-7,37.4,7.0,3.0,452(+2),,,,[東]久保田貴,中西純穂,
10,11,3,6,ナイツブリッジ,牡4,57.0,木幡巧也,1:12.5,1/2,**,1-1,38.3,39.0,10.0,506(+2),,,,[東]斎藤誠,村野康司,
11,12,7,14,シルヴァーメテオ,牡5,57.0,黛弘人,1:12.6,クビ,**,16-13,36.4,249.4,15.0,470(-6),,,,[東]石栗龍彦,ライオンレースホース,
12,13,7,13,カルダングリル,牝3,52.0,武藤雅,1:13.0,2.1/2,**,12-14,37.0,112.0,13.0,398(-12),,,,[東]和田正一,吉田千津,
13,14,5,9,ジェイケイマッチョ,セ4,54.0,山田敬士,1:13.1,3/4,**,12-16,37.1,37.4,9.0,490(+10),,,,[東]松永康利,小谷野次郎,
14,15,3,5,ウエスタンカッター,牝3,50.0,大塚海渡,1:13.1,クビ,**,9-9,37.7,291.6,16.0,430(-6),,,,[東]田中剛,山本弥恵子,
15,16,8,16,タマスカイブルー,牡4,57.0,石川裕紀,1:13.2,1/2,**,8-7,38.1,161.4,14.0,496(-4),,,,[東]相沢郁,玉井鶴枝,
0,1,8,16,ケイツーキナ,牝2,52.0,木幡育也,1:56.5,,**,2-2-2-1,37.9,4.1,2.0,460(+8),,,,[東]大江原哲,楠本勝美,500.0
1,2,2,4,エウロパ,牝2,54.0,木幡巧也,1:56.7,1.1/4,**,5-4-4-2,37.8,25.7,8.0,460(-4),,,,[東]尾形和幸,コロンバスサークル,200.0
2,3,8,15,ハイエストエンド,牡2,54.0,丸山元気,1:56.8,1/2,**,3-2-2-2,38.1,17.6,6.0,498(-4),,,,[東]小西一男,明栄商事,130.0
3,4,3,6,ベストランナー,牡2,54.0,北村宏司,1:57.9,7,**,6-4-4-5,39.0,2.4,1.0,486(-2),,,,[東]岩戸孝樹,ゴドルフィン,75.0
4,5,3,5,アベックフォルス,牡2,53.0,野中悠太,1:58.1,1.1/2,**,8-7-9-9,38.7,19.9,7.0,480(+2),,,,[東]加藤士津,田中義明,50.0
5,6,1,1,フルゴリラ,牡2,54.0,田中勝春,1:58.3,1,**,10-10-13-12,38.6,36.4,10.0,522(-4),,,,[東]小野次郎,Ｂａｓｉｃ,
6,7,6,12,トーセンタイミング,牡2,54.0,横山和生,1:58.4,1/2,**,1-1-1-2,39.8,83.9,14.0,466(-4),,,,[東]土田稔,島川隆哉,
7,8,7,13,スペラメント,牡2,54.0,横山典弘,1:58.4,ハナ,**,16-16-16-16,37.8,14.5,5.0,492(-2),,,,[東]和田勇介,吉田智,
8,9,4,7,リモテソーロ,牡2,54.0,津村明秀,1:58.4,クビ,**,9-7-6-6,39.3,151.7,15.0,506(+4),,,,[東]加藤士津,了徳寺健二ホールディングス,
9,10,2,3,ブロンテビーチ,牡2,54.0,戸崎圭太,1:58.7,1.1/2,**,3-4-6-6,39.7,7.6,3.0,490(-4),,,,[東]加藤征弘,フクキタル,
10,11,5,10,アポロアーリー,牡2,54.0,西田雄一,1:59.0,2,**,6-7-9-10,39.7,272.0,16.0,506(0),,,,[東]武藤善則,アポロサラブレッドクラブ,
11,12,5,9,アイシーブルー,牡2,54.0,勝浦正樹,1:59.2,1.1/4,**,15-13-9-10,39.8,66.7,12.0,426(0),,,,[東]田村康仁,ディアレストクラブ,
12,13,7,14,プロローグナンバー,牡2,51.0,藤田菜七,1:59.9,4,**,10-10-13-14,40.1,80.7,13.0,478(-4),,,,[東]根本康広,亀岡和彦,
13,14,6,11,マイネルロンド,牡2,54.0,柴田大知,1:59.9,クビ,**,13-13-15-14,39.9,60.3,11.0,448(-4),,,,[東]古賀慎明,サラブレッドクラブ・ラフィアン,
14,15,1,2,ウィルビーハッピー,牡2,54.0,大野拓弥,2:00.3,2.1/2,**,10-10-6-8,41.2,14.0,4.0,470(+2),,,,[東]奥村武,ノルマンディーサラブレッドレーシング,
15,16,4,8,ラインキャンドル,牝2,53.0,武藤雅,2:00.5,1,**,13-13-12-12,40.9,30.2,9.0,474(0),,,,[東]水野貴広,大澤繁昌,
0,1,1,2,ジュエルタワー,牝2,54.0,ルメール,1:35.0,,**,7-3-4,34.7,3.7,2.0,440(0),,,,[東]尾形和幸,社台レースホース,500.0
1,2,4,7,チアチアクラシカ,牝2,54.0,武豊,1:35.2,1.1/4,**,4-3-2,35.0,6.4,4.0,490(-16),,,,[東]堀井雅広,藤田在子,200.0
2,3,5,10,マイネルソラス,牡2,54.0,丹内祐次,1:35.2,クビ,**,9-9-7,34.6,27.6,7.0,462(+4),,,,[東]和田正一,サラブレッドクラブ・ラフィアン,130.0
3,4,6,11,シングンバズーカ,牡2,54.0,武士沢友,1:35.3,1/2,**,9-11-8,34.6,2.8,1.0,474(-4),,,,[東]高市圭二,伊坂重憲,75.0
4,5,2,3,セイウンパワフル,牡2,54.0,津村明秀,1:35.7,2.1/2,**,3-2-2,35.6,4.9,3.0,472(0),,,,[東]斎藤誠,西山茂行,50.0
5,6,8,16,バイカル,牝2,54.0,柴田大知,1:35.9,1.1/4,**,7-11-8,35.1,206.2,12.0,456(+4),,,,[東]勢司和浩,ビッグレッドファーム,
6,7,4,8,ナンヨーショウエイ,牝2,51.0,藤田菜七,1:36.1,1,**,1-1-1,36.1,58.3,9.0,400(0),,,,[東]宗像義忠,中村徳也,
7,8,8,15,スピードサウンド,牡2,54.0,岩田康誠,1:36.1,ハナ,**,12-9-12,35.5,21.9,6.0,454(-4),,,,[東]栗田徹,スリーエイチレーシング,
8,9,7,14,デュープス,牝2,54.0,木幡巧也,1:36.2,3/4,**,2-3-4,36.0,286.9,13.0,412(+20),,,,[東]星野忍,内田玄祥,
9,10,2,4,ウォッシュトレード,牡2,54.0,内田博幸,1:36.4,1.1/2,**,15-14-14,35.2,311.5,14.0,464(0),,,,[東]浅野洋一,田頭勇貴,
10,11,7,13,トルベジーノ,牝2,51.0,菅原明良,1:36.5,クビ,**,12-15-15,35.0,150.6,11.0,420(0),,,,[東]松山将樹,ビッグレッドファーム,
11,12,5,9,デルマトパーズ,牝2,54.0,松岡正海,1:36.5,ハナ,**,4-6-8,36.1,58.7,10.0,440(0),,,,[東]田島俊明,浅沼廣幸,
12,13,3,6,ハットルヴァン,牡2,53.0,菊沢一樹,1:36.6,3/4,**,12-11-12,35.9,46.4,8.0,492(+20),,,,[東]菊沢隆徳,服部邦繁,
13,14,1,1,シゲルビアンカ,牝2,54.0,嘉藤貴行,1:36.7,3/4,**,9-6-8,36.2,422.6,15.0,398(-2),,,,[東]清水英克,森中蕃,
14,15,3,5,タイニーベイビー,牡2,54.0,福永祐一,1:36.9,1.1/4,**,4-6-4,36.5,18.9,5.0,436(+8),,,,[東]松山将樹,山口裕介,
15,16,6,12,イノセントグラム,牡2,51.0,小林凌大,1:38.1,7,**,15-16-16,36.4,515.3,16.0,474(-2),,,,[東]伊藤伸一,田頭勇貴,
0,1,8,13,クインズラミントン,牡5,57.0,戸崎圭太,1:10.7,,**,6-5,36.3,2.1,1.0,484(0),,,,[東]池上昌和,亀田和弘,750.0
